ID;POWER_STATION;UNITS;CAPACITY_MWE;COUNTRY;LOCATION;CONSTRUCTION_START;PLANNED_CONNECTION
71;Khmelnitskiy Nuclear Power Plant;2;1,900[note 15];Ukraine;50°18'5''N 26°38'59''E;;
72;Koeberg Nuclear Power Station;2;1,83;South Africa;33°40'35''S 18°25'55''E;;
73;Kola Nuclear Power Plant;4;1,644;Russia;67°28'00''N 32°28'00''E;;
74;Kori Nuclear Power Plant;6;3,227;South Korea;35°19'01''N 129°18'00''E;;
75;Kozloduy Nuclear Power Plant;2;1,906[note 16];Bulgaria;43°44'46''N 23°46'14''E;;
76;Kuosheng Nuclear Power Plant;2;1,933;Taiwan;25°12'11''N 121°39'46''E;;
77;Kudankulam Nuclear Power Plant;1;1,000[note 17];India;8°10'06''N 77°42'45''E;;
78;Kursk Nuclear Power Plant;4;3,700[note 18];Russia;51°40'30''N 35°36'20''E;;
79;Laguna Verde Nuclear Power Station;2;1,3;Mexico;19°43'15''N 96°24'23''W;;
80;LaSalle County Nuclear Generating Station;2;2,238;United States;41°14'44''N 88°40'9''W;;
81;Leibstadt Nuclear Power Plant;1;1,19;Switzerland;47°36'11''N 08°11'05''E;;
82;Lemoniz Nuclear Power Plant;2;1,8;Spain;43°26'00''N 02°52'21''W;;
83;Leningrad Nuclear Power Plant;4;3,7;Russia;59°50'50''N 29°02'37''E;;
84;Limerick Nuclear Power Plant;2;2,264;United States;40°13'36''N 75°35'14''W;;
85;Ling Ao Nuclear Power Plant;4;3,876;China;22°36'17''N 114°33'5''E;;
86;Loviisa Nuclear Power Plant;2;976;Finland;60°22'20''N 26°20'50''E;;
87;McGuire Nuclear Station;2;2,2;United States;35°25'57''N 80°56'54''W;;
88;Maanshan Nuclear Power Plant;2;1,841;Taiwan;21°57'29''N 120°45'6''E;;
89;Mihama Nuclear Power Plant;3;1,57;Japan;35°42'09''N 135°57'48''E;;
90;Millstone Nuclear Power Plant;2;2,102[note 19];United States;41°18'43''N 72°10'07''W;;
91;Neckarwestheim Nuclear Power Plant;2;1,310[note 20];Germany;49°02'30''N 09°10'30''E;;
92;Nine Mile Point Nuclear Generating Station;2;1,764;United States;43°31'15''N 76°24'25''W;;
93;Ningde Nuclear Power Plant;2;2,036[note 21];China;27°02'46''N 120°17'18''E;;
94;Nogent Nuclear Power Plant;2;2,62;France;48°30'55''N 03°31'04''E;;
95;North Anna Nuclear Generating Station;2;1,875;United States;38°03'38''N 77°47'22''W;;
96;Novovoronezhskaya Nuclear Power Plant;3;1,720[note 22];Russia;51°16'30''N 39°12'00''E;;
97;Oconee Nuclear Generating Station;3;2,538;United States;34°47'38''N 82°53'53''W;;
98;?i Nuclear Power Plant;4;4,494;Japan;35°32'26''N 135°39'07''E;;
99;Olkiluoto Nuclear Power Plant;2;1,740[note 23];Finland;61°14'13''N 21°26'27''E;;
100;Onagawa Nuclear Power Plant;3;2,089;Japan;38°24'04''N 141°29'59''E;;
101;Oskarshamn Nuclear Power Plant;3;2,511;Sweden;57°24'56''N 16°40'16''E;;
102;Paks Nuclear Power Plant;4;1,889;Hungary;46°34'21''N 18°51'15''E;;
103;Palo Verde Nuclear Generating Station;3;4,214;United States;33°23'21''N 112°51'54''W;;
104;Paluel Nuclear Power Plant;4;5,32;France;49°51'29''N 00°38'08''E;;
105;Penly Nuclear Power Plant;2;2,66;France;49°58'36''N 01°12'43''E;;
106;Peach Bottom Nuclear Generating Station;2;2,234[note 24];United States;39°45'30''N 76°16'05''W;;
107;Perry Nuclear Generating Station;1;1,24;United States;41°48'03''N 81°08'36''W;;
108;Philippsburg Nuclear Power Plant;2;1,402[note 25];Germany;49°15'09''N 08°26'11''E;;
109;Pickering Nuclear Generating Station;6;3,094[note 26];Canada;43°48'42''N 79°03'57''W;;
110;Point Beach Nuclear Plant;2;1,027;United States;44°16'52''N 87°32'12''W;;
111;Prairie Island Nuclear Power Plant;2;1,114;United States;44°37'18''N 92°37'59''W;;
112;Qinshan Nuclear Power Plant;7;4,038;China;30°26'08''N 120°57'23''E;;
113;Quad Cities Nuclear Generating Station;2;1,774;United States;41°43'35''N 90°18'36''W;;
114;Rajasthan Atomic Power Station;6;1,085[note 27];India;24°52'20''N 75°36'50''E;;
115;Ringhals Nuclear Power Plant;4;3,649;Sweden;57°15'35''N 12°06'39''E;;
116;Rivne Nuclear Power Plant;4;2,645;Ukraine;51°19'40''N 25°53'30''E;;
117;Rostov Nuclear Power Plant;2;1,900[note 28];Russia;47°35'58''N 42°22'19''E;;
118;Saint-Alban Nuclear Power Plant;2;2,67;France;45°24'16''N 04°45'16''E;;
